File Name,Total Number Of Sentences,Average Sentence Length,Average Word Length,Number of Uncommon Words,Number of Unique Words,Words with 1 to 3 syllables,Words with 4 syllables,Words with 5 syllables,Words with 6 syllables,Words with more than 7 syllables,Average number of syllables,'',CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PDT,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,Class
Account Territories Africa.txt,4237,14.5558178,6.331603781,61673,10393,6678,1129,276,16,2294,2.050054319,0,3,17,8,1,41,87,2093,28,44,7,3510,31,0,1529,0,4,0,465,6,3,4,0,1,0,213,679,537,348,472,253,3,1,1,3,2
BriarRose.txt,36,19.22222222,5.196531792,692,368,171,2,0,0,195,1.456647399,0,0,2,2,0,0,5,64,2,1,5,117,0,0,36,0,0,0,35,1,0,0,0,0,0,10,46,16,16,6,3,0,1,0,0,1
Naturalist La Plata.txt,2777,18.52790781,6.266403638,51452,9177,5902,948,243,23,2061,1.949758999,0,7,12,3,0,11,60,1984,40,52,9,2544,11,0,1366,0,5,0,592,14,0,5,0,0,0,149,596,751,317,391,253,1,1,1,1,2
LesMiserables.txt,35383,7.744623124,6.019311895,274028,22432,14975,2498,604,69,4286,1.841731502,0,18,22,8,0,256,156,4189,84,83,12,7180,21,1,3972,0,6,0,971,28,0,10,0,0,1,355,1458,1407,642,897,643,5,1,1,5,3
MonkeyPaw.txt,306,6.431372549,5.549288618,1968,970,557,40,10,2,361,1.649390244,0,1,4,1,0,0,19,181,4,1,5,277,1,0,73,0,1,0,100,2,0,0,0,0,1,24,117,73,53,21,10,0,1,0,0,2
Emma.txt,5911,12.39908645,5.938546343,73291,6961,4539,798,187,27,1410,1.824030236,0,2,14,7,0,7,51,1391,30,56,7,2031,10,0,828,0,2,1,482,7,0,6,0,0,1,386,468,575,304,146,143,1,1,1,2,3
WWofO.txt,2247,8.082331998,5.306866362,18161,2766,1631,72,8,0,1055,1.574197456,0,1,9,4,0,3,28,481,18,17,7,782,1,0,320,0,1,0,230,3,0,1,0,0,2,97,283,199,140,86,49,1,1,1,1,2
Heart Africa.txt,3622,12.08006626,6.093020067,43754,7685,5012,645,130,15,1883,1.910362481,0,2,10,4,0,10,54,1481,23,32,7,2276,16,0,1066,0,2,0,450,12,1,2,0,0,1,194,694,589,360,276,116,2,2,1,2,2
JORINDA AND JORINDEL.txt,44,12.27272727,5.074074074,540,285,110,3,0,0,172,1.492592593,0,0,5,1,0,0,12,52,1,1,4,86,0,0,18,0,0,0,24,0,0,0,0,0,0,10,33,10,19,6,2,0,0,1,0,1
Pictures Stories Little Folk.txt,619,10.62035541,5.455278369,6574,2115,1241,40,3,0,831,1.57484028,0,1,9,3,0,2,27,374,15,11,7,591,0,0,318,0,1,0,138,3,0,2,0,0,0,55,198,153,101,72,30,1,1,1,1,1
